Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
502457,0.150770603,0,0.026221566,0.17990506,0.03870727,0.170679985,0,0,0.025184542,0,0.023678889,0.032237783,0.023075024,0,0,0.010321475,0,0.000599881,0.021210462,0,0,0.29740746,0,0.849645546,0.604878451
501388,0.056472535,0,0.022099508,0.184616357,0.00389144,0.185629504,0,0,0.033023527,0,0.074621278,0.06439606,0.00525854,0,0,0,0,0.003929432,0,0.003920583,0,0.362141235,0,0.915391931,0.506523863
502687,0.028466248,0.008272933,0.008584919,0.120249842,0.004899205,0.13329129,0.001932916,0,0.019504974,0,0.015099443,0.025112556,0.02695974,0,0,0.002795515,0,0.000276723,0.023615364,0,0,0.580938331,0,0.915775601,0.427370956
502947,0.058440908,0.002422174,0.018106406,0.089489411,0,0.126065501,0.009528538,0,0.024215804,0,0.08327571,0.058398955,0.05472154,0,0,0.007100354,0,0.000938153,0.019870327,0,0,0.447426219,0,0.90645245,0.490552221
301724,0.090130557,0,0.037097284,0.140333998,0.052481551,0.141679642,0,0,0.0213442,0,0.004875295,0.060149654,0.035277005,0,0,0.010135997,0,0.009786019,0.019840045,0,0,0.376868753,0,0.917986325,0.513521691
503452,0.087286845,0.027910217,0.020801333,0.103427951,0.055571567,0.153642148,8.81155518041441e-06,0,0.01851302,0,0.059364273,0.055469045,0.040012331,0,0,0.011547874,0,0.002467548,0.01901917,0,0,0.344957866,0,0.894905066,0.550255256
502382,0.041125889,0.002303607,0.016475582,0.156170836,0.080624148,0.149173579,0.001845617,0,0.010749262,0,0.064445832,0.01876482,0.051042316,0,0,0.009303623,0,0.001015909,0.025932773,0,0,0.371026208,0,0.912039233,0.512488371
502530,0.090126401,0.008687279,0.0282616,0.197065032,0.00389215,0.129817143,0.012495269,0,0.057786922,0,0.089282492,0.093951801,0.048375717,0,0,0.004816212,0,0.000304652,0.001833193,0,0,0.233304138,0,0.900895872,0.559820214
503883,0.062608082,0,0.025925655,0.103497696,0.049329573,0.16955544,0,0,0.009774781,0,0.089283166,0.041953795,0.031187988,0.001120277,0,0.015732619,0,0.00379816,0.022292329,0,0,0.373940439,0,0.910161528,0.519680912
504280,0.030097225,0.023579168,0.018477443,0.173479546,0,0.083006472,0.010380665,0,0.054411897,0,0.053241968,0.044264804,0.044459115,0,0,0,0,0.001046118,0.029935472,0,0,0.433620107,0,0.91160989,0.491226731
504991,0.074170041,0.003326024,0.023360894,0.116228123,0.03493257,0.155335319,0,0,0.013081097,0,0.132306268,0.002562845,0.062962216,0,0,0.018240687,0,0,0.036424457,0,0,0.32706946,0,0.896691683,0.552208181
505027,0.081992472,0,0.016353453,0.107299572,0.031753472,0.177485654,0,0,0.01320813,0,0.047373699,0.017365387,0.057121025,0,0,0.016036872,0,0,0.024591554,0,0,0.40941871,0,0.93273277,0.475106096
503953,0.05459112,0.002105685,0.01490764,0.073922103,0.036607295,0.173701054,0,0,0.017335766,0,0.129467217,0.067939465,0.033505927,0,0,0.007698585,0,0.003621593,0.020102,0,0,0.36449455,0,0.921607025,0.502098709
504235,0.060647748,0,0.027115588,0.123682225,0.014993207,0.137865578,0,0,0.03863425,0,0.026361087,0.059980536,0.023808782,0,0,0.008464084,0,0.002942936,0.005207318,0,0,0.470296661,0,0.908244941,0.482017287
506354,0.103807919,0.001598123,0.028581907,0.124529147,0.05112033,0.170990392,0,0,0.03377153,0,0.020871095,0.045309146,0.048448269,0,0,0.012000558,0,0.003537333,0.013501684,0,0,0.341932568,0,0.920018977,0.52318181
505112,0.025005059,0.009003998,0.018182391,0.21867742,0.034015111,0.124264424,0.002217881,0,0.041289913,0,0.062485497,0.031883275,0.014913174,0,0,0.006148951,0,0.007069594,0,0,0,0.404843314,0,0.873311363,0.542147266
505776,0.014995524,0,0.01146181,0.075080989,0,0.037865586,0,0,0.028130559,0,0.10657882,0.004820658,0.127597506,0.070107712,0,0,0,0,0,0.031200212,0,0.492160624,0,0.887563149,0.487746344
505347,0.045869209,0,0.020165342,0.118910284,0.098140517,0.249836676,0,0,0.002727992,0,0.023850224,0.029105615,0,0,0,0.002824921,0,0.002095814,0,0.001235891,0,0.405237514,0,0.915323251,0.490051558
506094,0.061963808,0.003898197,0.016341524,0.181327433,0.035816966,0.105558648,0.005813536,0,0.011792998,0,0.021831514,0.025317831,0.036324622,0,0,0.013871845,0,0.000839108,0.042928027,0,0,0.436373944,0,0.928707522,0.469472685
